
Processing CalculateEfficincy.C...
Particle             :    Eff 4pi  /  Eff accept /   Eff KFPF  /      Ghost  /     BackGr  /    N Ghost  /   N BackGr  /     N Reco  /    N Clone  |   N MC 4pi  | N MC accept |  N MC KFPF 
Lambda* b            :      0.602  /     -1.000  /      0.885  /      0.139  /      0.043  /         97  /         30  /        571  /          9  |        949  |          0  |        645
Lambda* b      Prim  :      0.602  /     -1.000  /      0.885  /      0.000  /      0.000  /          0  /          0  /        571  /          9  |        949  |          0  |        645
Lambda* b      Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Xi*0                 :      0.129  /     -1.000  /      0.466  /      0.045  /      0.444  /          6  /         59  /         68  /          1  |        528  |          0  |        146
Xi*0           Prim  :      0.129  /     -1.000  /      0.466  /      0.000  /      0.000  /          0  /          0  /         68  /          1  |        528  |          0  |        146
Xi*0           Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Xi*0 b               :      0.108  /     -1.000  /      0.432  /      0.031  /      0.527  /          4  /         68  /         57  /          1  |        526  |          0  |        132
Xi*0 b         Prim  :      0.108  /     -1.000  /      0.432  /      0.000  /      0.000  /          0  /          0  /         57  /          1  |        526  |          0  |        132
Xi*0 b         Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Xi*-_lk              :      0.220  /     -1.000  /      0.542  /      0.115  /      0.178  /         20  /         31  /        123  /          3  |        558  |          0  |        227
Xi*-_lk        Prim  :      0.220  /     -1.000  /      0.542  /      0.000  /      0.000  /          0  /          0  /        123  /          3  |        558  |          0  |        227
Xi*-_lk        Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Xi*+_lk              :      0.248  /     -1.000  /      0.533  /      0.120  /      0.203  /         26  /         44  /        147  /          4  |        592  |          0  |        276
Xi*+_lk        Prim  :      0.248  /     -1.000  /      0.533  /      0.000  /      0.000  /          0  /          0  /        147  /          4  |        592  |          0  |        276
Xi*+_lk        Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Xi*-_XiPi            :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |         12  |          0  |          0
Xi*-_XiPi      Prim  :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |         12  |          0  |          0
Xi*-_XiPi      Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Xi*+_XiPi            :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          6  |          0  |          0
Xi*+_XiPi      Prim  :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          6  |          0  |          0
Xi*+_XiPi      Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Omega*-              :      0.073  /     -1.000  /      0.361  /      0.000  /      0.000  /          0  /          0  /         35  /          2  |        480  |          0  |         97
Omega*-        Prim  :      0.073  /     -1.000  /      0.361  /      0.000  /      0.000  /          0  /          0  /         35  /          2  |        480  |          0  |         97
Omega*-        Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Omega*+              :      0.081  /     -1.000  /      0.414  /      0.000  /      0.000  /          0  /          0  /         41  /          1  |        508  |          0  |         99
Omega*+        Prim  :      0.081  /     -1.000  /      0.414  /      0.000  /      0.000  /          0  /          0  /         41  /          1  |        508  |          0  |         99
Omega*+        Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
H0_LL                :      0.047  /     -1.000  /      0.242  /      0.000  /      0.000  /          0  /          0  /         16  /          0  |        339  |          0  |         66
H0_LL          Prim  :      0.047  /     -1.000  /      0.242  /      0.000  /      0.000  /          0  /          0  /         16  /          0  |        339  |          0  |         66
H0_LL          Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
phi_KK               :      0.621  /     -1.000  /      0.872  /      0.019  /      0.045  /         12  /         29  /        606  /         10  |        976  |          0  |        695
phi_KK         Prim  :      0.621  /     -1.000  /      0.872  /      0.000  /      0.000  /          0  /          0  /        606  /         10  |        976  |          0  |        695
phi_KK         Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
rho_pipi             :      0.000  /     -1.000  /      0.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |        831  |          0  |        561
rho_pipi       Prim  :      0.000  /     -1.000  /      0.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |        831  |          0  |        561
rho_pipi       Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
rho_ee               :      0.555  /     -1.000  /      0.827  /      0.007  /      0.559  /          7  /        543  /        422  /         10  |        760  |          0  |        510
rho_ee         Prim  :      0.555  /     -1.000  /      0.827  /      0.000  /      0.000  /          0  /          0  /        422  /         10  |        760  |          0  |        510
rho_ee         Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
rho_mm               :      0.634  /     -1.000  /      0.883  /      0.000  /      0.481  /          0  /        470  /        507  /          6  |        800  |          0  |        574
rho_mm         Prim  :      0.634  /     -1.000  /      0.883  /      0.000  /      0.000  /          0  /          0  /        507  /          6  |        800  |          0  |        574
rho_mm         Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
gamma                :      0.013  /     -1.000  /      0.638  /      0.008  /      0.848  /          9  /        912  /        155  /          1  |      11703  |          0  |        243
gamma          Prim  :      0.132  /     -1.000  /      0.700  /      0.000  /      0.000  /          0  /          0  /         21  /          0  |        159  |          0  |         30
gamma          Sec   :      0.012  /     -1.000  /      0.629  /      0.000  /      0.000  /          0  /          0  /        134  /          1  |      11544  |          0  |        213
pi0                  :      0.000  /     -1.000  /      0.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |        546  |          0  |          1
pi0            Prim  :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |         18  |          0  |          0
pi0            Sec   :      0.000  /     -1.000  /      0.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |        528  |          0  |          1
eta                  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
eta            Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
eta            Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
JPsi_ee              :      0.446  /     -1.000  /      0.615  /      0.000  /      0.012  /          0  /          4  /        329  /          0  |        737  |          0  |        535
JPsi_ee        Prim  :      0.446  /     -1.000  /      0.615  /      0.000  /      0.000  /          0  /          0  /        329  /          0  |        737  |          0  |        535
JPsi_ee        Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
JPsi_mm              :      0.499  /     -1.000  /      0.730  /      0.000  /      0.005  /          0  /          2  /        382  /          0  |        765  |          0  |        523
JPsi_mm        Prim  :      0.499  /     -1.000  /      0.730  /      0.000  /      0.000  /          0  /          0  /        382  /          0  |        765  |          0  |        523
JPsi_mm        Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
JPsi_pp              :      0.692  /     -1.000  /      0.875  /      0.005  /      0.002  /          3  /          1  /        617  /          1  |        891  |          0  |        705
JPsi_pp        Prim  :      0.692  /     -1.000  /      0.875  /      0.000  /      0.000  /          0  /          0  /        617  /          1  |        891  |          0  |        705
JPsi_pp        Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
JPsi_LL              :      0.099  /     -1.000  /      0.299  /      0.033  /      0.000  /          1  /          0  /         29  /          0  |        294  |          0  |         97
JPsi_LL        Prim  :      0.099  /     -1.000  /      0.299  /      0.000  /      0.000  /          0  /          0  /         29  /          0  |        294  |          0  |         97
JPsi_LL        Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
JPsi_XiXi            :      0.016  /     -1.000  /      0.139  /      0.000  /      0.000  /          0  /          0  /          5  /          0  |        310  |          0  |         36
JPsi_XiXi      Prim  :      0.016  /     -1.000  /      0.139  /      0.000  /      0.000  /          0  /          0  /          5  /          0  |        310  |          0  |         36
JPsi_XiXi      Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Psi_OO               :      0.052  /     -1.000  /      0.368  /      0.000  /      0.000  /          0  /          0  /          7  /          0  |        134  |          0  |         19
Psi_OO         Prim  :      0.052  /     -1.000  /      0.368  /      0.000  /      0.000  /          0  /          0  /          7  /          0  |        134  |          0  |         19
Psi_OO         Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D0                   :      0.021  /     -1.000  /      0.321  /      0.000  /      0.000  /          0  /          0  /         17  /          0  |        826  |          0  |         53
D0             Prim  :      0.021  /     -1.000  /      0.321  /      0.000  /      0.000  /          0  /          0  /         17  /          0  |        826  |          0  |         53
D0             Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D0b                  :      0.019  /     -1.000  /      0.294  /      0.000  /      0.167  /          0  /          3  /         15  /          0  |        798  |          0  |         51
D0b            Prim  :      0.019  /     -1.000  /      0.294  /      0.000  /      0.000  /          0  /          0  /         15  /          0  |        798  |          0  |         51
D0b            Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
